SID,SEASON,BASIN,NAME,ISO_TIME,LAT,LON,USA_WIND,USA_SSHS,geometry,index_right,NAME_NORM
1992247N10258,1992,Eastern Pacific,ORLENE,1992-09-14 12:00:00,19.3,-154.0,25.0,-1,POINT (-154 19.3),56,ORLENE_1992_09
2013229N26132,2013,Western Pacific,UNNAMED,2013-08-18 12:00:00,28.9,122.9,25.0,-1,POINT (122.9 28.9),112,UNNAMED_2013_08
2001047N09134,2001,Western Pacific,UNNAMED,2001-02-19 12:00:00,11.4,121.5,25.0,-1,POINT (121.5 11.4),48,UNNAMED_2001_02
2025278N15254,2025,Eastern Pacific,PRISCILLA,2025-10-11 12:00:00,26.2,-114.7,25.0,-3,POINT (-114.7 26.2),95,PRISCILLA_2025_10
2000260N19253,2000,Eastern Pacific,MIRIAM,2000-09-17 06:00:00,22.4,-108.9,25.0,-1,POINT (-108.9 22.4),95,MIRIAM_2000_09
2000223N18257,2000,Eastern Pacific,HECTOR,2000-08-10 06:00:00,18.0,-103.5,25.0,-1,POINT (-103.5 18),95,HECTOR_2000_08
2000193N10131,2000,Western Pacific,UNNAMED,2000-07-17 03:00:00,21.5,112.1,25.0,-1,POINT (112.1 21.5),112,UNNAMED_2000_07
2000196N16122,2000,Western Pacific,UNNAMED,2000-07-13 18:00:00,15.6,122.4,25.0,-1,POINT (122.4 15.6),51,UNNAMED_2000_07
2000104S17182,2000,South Pacific,NEIL,2000-04-14 18:00:00,-18.8,179.2,25.0,-1,POINT (179.2 -18.8),15,NEIL_2000_04
2000089S20168,2000,South Pacific,VAUGHAN,2000-04-06 18:00:00,-15.6,146.2,25.0,-1,POINT (146.2 -15.6),21,VAUGHAN_2000_04
1999334N11118,1999,Western Pacific,UNNAMED,1999-12-04 03:00:00,9.2,100.0,25.0,-1,POINT (100 9.2),112,UNNAMED_1999_12
1993096N08148,1993,Western Pacific,UNNAMED,1993-04-13 03:00:00,6.5,126.8,25.0,-1,POINT (126.8 6.5),43,UNNAMED_1993_04
2021307N09275,2021,Eastern Pacific,TERRY,2021-11-03 00:00:00,8.6,-85.4,25.0,-3,POINT (-85.4 8.6),95,TERRY_2021_11
1993059N05136,1993,Western Pacific,UNNAMED,1993-03-01 03:00:00,8.4,126.7,25.0,-1,POINT (126.7 8.4),43,UNNAMED_1993_03
1999228N31128,1999,Western Pacific,UNNAMED,1999-08-17 15:00:00,33.5,130.5,25.0,-1,POINT (130.5 33.5),71,UNNAMED_1999_08
1999219N25142,1999,Western Pacific,UNNAMED,1999-08-10 03:00:00,33.3,137.0,25.0,-1,POINT (137 33.3),71,UNNAMED_1999_08
1999213N12144,1999,Western Pacific,PAUL,1999-08-06 12:00:00,30.8,131.8,25.0,-1,POINT (131.8 30.8),71,PAUL_1999_08
1993193N08144,1993,Western Pacific,MARIAN,1993-07-16 15:00:00,17.6,123.3,25.0,-1,POINT (123.3 17.6),51,MARIAN_1993_07
1999204N17117,1999,Western Pacific,UNNAMED,1999-07-27 00:00:00,21.6,114.9,25.0,-1,POINT (114.9 21.6),112,UNNAMED_1999_07
